date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986923319,1.0000000013457901,46303774477
2024-12-25,1.0,0.9999999983137349,1.000000001598862,46303774477
2024-12-26,1.0,0.9999999979272708,1.000000001924998,46303774477
2024-12-27,1.0,0.9999999972081657,1.000000002871922,46303774477
2024-12-28,1.0,0.99999999576541,1.0000000040432109,46303774477
2024-12-29,1.0,0.9999999937227817,1.0000000056719422,46303774477
2024-12-30,1.0,0.9999999916027045,1.0000000080303113,46303774477
2024-12-31,1.0,0.9999999894610889,1.000000009753246,46303774477
2025-01-01,1.0,0.9999999873332771,1.0000000121809207,46303774477
2025-01-02,1.0,0.9999999849162565,1.0000000149775343,46303774477
2025-01-03,1.0,0.9999999828211769,1.0000000174617332,46303774477
2025-01-04,1.0,0.9999999804249841,1.0000000201578447,46303774477
2025-01-05,1.0,0.9999999776549277,1.0000000222628413,46303774477
2025-01-06,1.0,0.9999999748283298,1.0000000251087438,46303774477
2025-01-07,1.0,0.9999999720350791,1.0000000288429014,46303774477
2025-01-08,1.0,0.9999999688062915,1.0000000315355708,46303774477
2025-01-09,1.0,0.9999999652425074,1.0000000359426113,46303774477
2025-01-10,1.0,0.9999999632350816,1.0000000392150312,46303774477
2025-01-11,1.0,0.9999999596289861,1.0000000426525013,46303774477
2025-01-12,1.0,0.9999999571289822,1.000000046216436,46303774477
2025-01-13,1.0,0.9999999516337883,1.000000049500553,46303774477
2025-01-14,1.0,0.9999999478660514,1.0000000526056516,46303774477
2025-01-15,1.0,0.9999999454775728,1.0000000573829075,46303774477
2025-01-16,1.0,0.9999999422995995,1.0000000606717157,46303774477
2025-01-17,1.0,0.9999999385783785,1.000000064922637,46303774477
2025-01-18,1.0,0.9999999355899446,1.0000000702569452,46303774477
2025-01-19,1.0,0.9999999310359116,1.000000073588519,46303774477
2025-01-20,1.0,0.999999928492493,1.0000000760027747,46303774477
2025-03-04,1.999994711185436,1.999994711180836,1.999994711190041,46303862950
2025-03-05,1.9999947111854357,1.9999947111810132,1.999994711190131,46303862950
2025-03-06,1.9999947111854357,1.9999947111807332,1.9999947111906535,46303862950
2025-03-07,1.9999947111854357,1.9999947111803729,1.9999947111915826,46303862950
2025-03-08,1.9999947111854357,1.999994711179618,1.9999947111918377,46303862950
2025-03-09,1.9999947111854357,1.9999947111786909,1.9999947111937781,46303862950
2025-03-10,1.9999947111854357,1.9999947111769043,1.9999947112418288,46303862950
2025-03-11,1.9999947111854355,1.999994711141176,1.9999947113203513,46303862950
2025-03-12,1.9999947111854355,1.9999947110794154,1.9999947114133054,46303862950
2025-03-13,1.9999947111854355,1.9999947109902838,1.9999947115717944,46303862950
2025-03-14,1.9999947111854355,1.9999947108375535,1.999994711755448,46303862950
2025-03-15,1.9999947111854355,1.9999947107223275,1.9999947120126884,46303862950
2025-03-16,1.9999947111854353,1.9999947106013285,1.9999947122451958,46303862950
2025-03-17,1.9999947111854353,1.999994710359839,1.9999947124194588,46303862950
2025-03-18,1.9999947111854353,1.9999947102113744,1.9999947126063027,46303862950
2025-03-19,1.9999947111854353,1.9999947099348367,1.9999947128759126,46303862950
2025-03-20,1.9999947111854353,1.9999947097463904,1.9999947131608355,46303862950
2025-03-21,1.999994711185435,1.999994709635156,1.9999947133373683,46303862950
2025-03-22,1.999994711185435,1.999994709314944,1.999994713590485,46303862950
2025-03-23,1.999994711185435,1.999994709083027,1.9999947138629028,46303862950
2025-03-24,1.999994711185435,1.9999947087879877,1.999994714117344,46303862950
2025-03-25,1.999994711185435,1.9999947085472474,1.9999947143537258,46303862950
2025-03-26,1.9999947111854348,1.9999947083873284,1.9999947145798969,46303862950
2025-03-27,1.9999947111854348,1.9999947081574223,1.9999947149128,46303862950
2025-03-28,1.9999947111854348,1.999994707915709,1.999994715254508,46303862950
2025-03-29,1.9999947111854348,1.999994707566471,1.9999947155401745,46303862950
2025-03-30,1.9999947111854348,1.9999947072984432,1.999994715794587,46303862950
2025-03-31,1.9999947111854348,1.999994707100204,1.9999947160733833,46303862950
2025-03-04,5.434594712287723,1.1502582101330496,9.624723768102184,46303877432
2025-03-05,4.865590756421664,0.46103468257445646,9.191541464699581,46303877432
2025-03-06,4.296586800555591,0.24223826026248643,8.728925820259354,46303877432
2025-03-07,3.7275828446895325,-0.4567017469575779,7.8144437283558394,46303877432
2025-03-08,3.158578888823474,-0.7531514617674324,7.373517018641436,46303877432
2025-03-09,2.589574932957415,-1.5905487016685986,6.940890432836202,46303877432
2025-03-10,2.0205709770913565,-1.9889502238589132,6.149951008763104,46303877432
2025-03-11,1.4515670212252978,-2.7563792946337355,5.523035312139548,46303877432
2025-03-12,0.882563065359232,-3.12582456029372,4.904257168670474,46303877432
2025-03-13,0.31355910949317334,-3.4481253699378818,4.503609900075737,46303877432
2025-03-14,-0.25544484637288534,-4.155214094752133,3.7016676801121022,46303877432
2025-03-15,-0.824448802238944,-5.303264914851189,3.4338263204503785,46303877432
2025-03-16,-1.3934527581050027,-5.807338535950054,2.4777335465706756,46303877432
2025-03-17,-1.9624567139710614,-6.245106398143439,2.280357924247621,46303877432
2025-03-18,-2.5314606698371342,-6.612363957292891,1.3297271409646665,46303877432
2025-03-19,-3.100464625703193,-6.825601710285951,1.0500582671691119,46303877432
2025-03-20,-3.6694685815692516,-7.533350681866235,0.5013587037725016,46303877432
2025-03-21,-4.23847253743531,-8.39480730289965,-0.3234192926946975,46303877432
2025-03-22,-4.807476493301369,-9.163463275844835,-0.9647921939036721,46303877432
